"Wi-Fi Compatibility Table - Pci-Express, Mini Pci-Express and M.2 (NGFF) for macOS",,,,,,,,,,,,,,,,,,
Card model no. ,Vendor ID: Device ID,802.11+ Bluetooth,Bluetooth model,Bluetooth USB-ID and stability,MIMO,2.4GHz Speed ,5GHz Speed ,Mac OS X 10.6 Support,Mac OS X 10.7 Support,Mac OS X 10.8 Support,macOS 10.9 Support,macOS 10.10 Support,macOS 10.11 Support,macOS 10.12 Support,macOS 10.13 Support,macOS 10.14 Support,macOS 10.15 Support,macOS 11 Support
"Original Model, Broadcom Apple (full-size):  installed via PCIE-X1 or mPCIE adapter and (NGFF, M.2) ",,,,,,,,,,,,,,,,,,
AR5BXB112 (ar9380),[168c:0030],a/b/g/n,,,3x3,300 Mbit/s,450 Mbit/s,NO,YES,YES,YES,,,,,NO,,
Atheros: (half-size):,,,,,,,,,,,,,,,,,,
AR5BHB63 (ar2425),[168c:001c],b/g,,,--,54 Mbit/s,--,NO,NO,NO,NO,,,,,NO,NO,NO
AR5B125 (ar9485),[168c:0032],b/g/n,,,1x1,75 Mbit/s,--,NO,NO,NO,NO,,,,,NO,NO,NO
AR5B225 (ar9485),[168c:0032],b/g/n + bt,,,1x1,75 Mbit/s,--,NO,NO,NO,NO,,,,,NO,NO,NO
AR5B22SB (ar9463),[168c:0034],b/g/n + bt,,,2x2,150 Mbit/s,--,NO,NO,NO,NO,,,,,NO,NO,NO
AR5B22 (ar9462),[168c:0034],a/b/g/n + bt,,,2x2,150 Mbit/s,300 Mbit/s,NO,NO,NO,NO,,,,,NO,NO,NO
AR5BHB116 (ar9382),[168c:0030],a/b/g/n,,,2x2,150 Mbit/s,300 Mbit/s,NO,NO,NO,NO,,,,,NO,NO,NO
AR5BHB118 (ar9392),[168c:0030],a/b/g/n,,,2x2,150 Mbit/s,300 Mbit/s,NO,NO,NO,NO,,,,,NO,NO,NO
AR5BHB112 (ar9380),[168c:0030],a/b/g/n,,,3x3,300 Mbit/s,450 Mbit/s,NO,NO,NO,NO,,,,,NO,NO,NO
AR5B95 (ar9285),[168c:002b],b/g/n,,,1x1,75 Mbit/s,--,NO,NO,NO,NO,,,,,NO,NO,NO
AR5B195 (ar9285),[168c:002b],b/g/n + bt,,,1x1,75 Mbit/s,--,NO,NO,NO,NO,,,,,NO,NO,NO
AR5B97 (ar9287),[168c:002e],b/g/n,,,2x2,150 Mbit/s,--,NO,NO,NO,NO,,,,,NO,NO,NO
AR5B197 (ar9287),[168c:002e],b/g/n + bt,,,2x2,150 Mbit/s,--,NO,NO,NO,NO,,,,,NO,NO,NO
AR5BHB92 (ar9280),[168c:002a],a/b/g/n,,,2x2,150 Mbit/s,300 Mbit/s,YES,YES,YES,YES,,,,,NO,NO,NO
AR5B91 (ar9281),[168c:002a],b/g/n,,,1x2,75 Mbit/s,--,YES,YES,YES,YES,,,,,NO,NO,NO
AR5B93 (ar9283),[168c:002a],b/g/n,,,2x2,150 Mbit/s,--,YES,YES,YES,YES,,,,,NO,NO,NO
Qualcomm: Atheros (half-size):,,,,,,,,,,,,,,,,,,
QCWB335 (qca9565),[168c:0036],b/g/n + bt,,,1x1,75 Mbit/s,--,NO,NO,NO,NO,,,,,NO,,
QCWB342 (qca9862),[168c:003C],a/b/g/n/ac + bt,,,2x2,150 Mbit/s,867 Mbit/s,NO,NO,NO,NO,,,,,NO,,
"Intel: (NGFF, M.2):",,,,,,,,,,,,,,,,,,
AC 7260,[8086:08b1],a/b/g/n/ac+bt 4.0,,,2x2,300 Mbit/s,867 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 3160,[8086:08b3],a/b/g/n/ac+bt 4.0,,,1x1,--,433 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 7265,[8086:095a],a/b/g/n/ac+bt 4.2,,,2x2,--,867 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 3165,[8086:3165],a/b/g/n/ac+bt 4.2,,,1x1,--,433 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 8260,[8086:24f3],a/b/g/n/ac+bt 4.2,,,2x2,--,867 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 4165,[8086:24f5],a/b/g/n/ac+bt 4.0,,,1x1,--,433 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 3168,[8086:24fb],a/b/g/n/ac+bt 4.2,,,1x1,--,433 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 8265,[8086:24fd],a/b/g/n/ac+bt 4.2,,,2x2,--,867 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 9260,[8086:2526],a/b/g/n/ac+bt 5.1,,,2x2,--,1730 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 9560,[8086:a370],a/b/g/n/ac+bt 5.1,,,2x2,--,1730 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 9462,[8086:42a4],a/b/g/n/ac+bt 5.1,,,1x1,--,433 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AC 9461,[8086:0060],a/b/g/n/ac+bt 5.1,,,1x1,--,433 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AX200,[8086:2723],a/b/g/n/ac+bt 5.1,,,2x2,--,2400 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
AX201,[8086:43f0],a/b/g/n/ac+bt 5.1,,,2x2,--,2400 Mbit/s,NO,NO,NO,itlwm,itlwm,itlwm,itlwm,AirportItlwm,AirportItlwm,AirportItlwm,AirportItlwm
Other cards: ,,,,,,,,,,,,,,,,,,
Ralink any model,[148F:xxxx],--,,,--,--,--,NO,NO,NO,NO,,,,,NO,,
Realtek any model,[10EC:xxxx],--,,,--,--,--,NO,NO,NO,NO,,,,,NO,,
